,filename,score,num_of_evaluations
0,BpQJgPNFD0z.jpg,0,0
1,BpQNCmMAhjT.jpg,0,0
2,BpQYJNvgA3t.jpg,0,0
3,BpPUOYLHenu.jpg,0,0
4,BpQih6Xl_jO.jpg,0,0
5,BpOxhqgHXhH.jpg,0,0
6,BpQcEq-jaSU.jpg,0,0
7,BpO6VfblVhx.jpg,0,0
8,BpO6T_-h44C.jpg,0,0
9,BpOryjSg3rF.jpg,0,0
10,BpO79kBlP_5.jpg,0,0
11,BpPGodAAGuH.jpg,0,0
12,BpJv95dnC3n.jpg,0,0
13,BpPFvphgz3M.jpg,0,0
14,BpPB-gTjxJh.jpg,0,0
15,BpO1tNrFkeC.jpg,0,0
16,BpQkLPHHTuV.jpg,0,0
17,BpOvbwggMaK.jpg,0,0
18,BpQISH_AtUw.jpg,0,0
19,BpOyBhani4w.jpg,0,0
20,BpQnYP8Aow4.jpg,0,0
21,BpPFqqjF05i.jpg,0,0
22,BpOyfCGhw9U.jpg,0,0
23,BpO96xHAC_r.jpg,0,0
24,BpPGi1SgMux.jpg,0,0
25,BpO4uxGn3In.jpg,0,0
26,BpO_o1QASag.jpg,0,0
27,BpPTj0AhoXR.jpg,0,0
28,BpO5sePB8Pb.jpg,0,0
29,BpOttpwAS6L.jpg,0,0
30,BpO3ervnW9K.jpg,0,0
31,BpP4rjmh8Z6.jpg,0,0
32,BpQSlARnGa0.jpg,0,0
33,BpO-68Qn_LO.jpg,0,0
34,BpPEMFCh89L.jpg,0,0
35,BpQg5sohsxe.jpg,0,0
36,BpPOwKoA3Lr.jpg,0,0
37,Bn-l8xXA1oe.jpg,0,0
38,BpQeDwOH24B.jpg,0,0
39,BpPCiCtHTA7.jpg,0,0
40,BpO5V8NlP1A.jpg,0,0
41,BpOwlJpAUFQ.jpg,0,0
42,BpQHC2Xgy8z.jpg,0,0
43,BpQHxFQAeVC.jpg,0,0
44,BpO3UhwAo9w.jpg,0,0
45,BpQMO6dFfOy.jpg,0,0
46,BpPFcYqFPJF.jpg,0,0
